cpdm_source_id,cpdm_source_name,cpdm_source_stereotype,cpem_id,cpem_name,cpem_stereotype,trace_method,m2t_artifact,solidity_file,trace_status
{C7A92C89-6CD2-48F6-B4D1-9F05DEAFA517},7. Quality Control,Activity,{2B26E580-B468-4d55-828A-C00927AC0598},Transition_7. Quality Control,StateTransition,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{3016F409-98C4-447D-ADD2-2FF745CC3D6C},8. Complete Order,Activity,{4DE24F11-4CBB-4e2c-B11A-145C7A6CF3C7},Transition_8. Complete Order,StateTransition,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
,,,{EF526B04-8223-4716-9E19-4F7AF9E0CFE5},Transport / Logistics,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{C16EE7C0-A8F0-54B4-88C7-79088338E676},D1. Quality Approved?,Decision,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{8C0250BE-0557-4800-B06E-4DE7A23C5415},Cape Town Diamonds,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{39623251-3CFB-4AB8-B5D0-BD6FDF6D41EC},End Buyer,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{C55C4A56-55D6-4FBA-9270-333432E1C4E5},Insurance Provider,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{974EC02E-63CD-4D2C-A197-CAD5F39FA90C},Lesotho Mine,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{3946170A-AB7E-4D79-8CCA-BC178D81E1EA},Seville Jewellery Shop,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
,,,{8D3EFE3A-7D84-4F75-BE11-65755D4AE1CD},Transport / Logistics,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
